config,software,version
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/h/HMMER/HMMER-3.1b2-GCC-6.4.0-2.28.eb,HMMER,3.1b2
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/h/HMMER/HMMER-3.4-gompi-2023a.eb,HMMER,3.4
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/h/HTSlib/HTSlib-1.8-GCC-6.4.0-2.28.eb,HTSlib,1.8
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/i/Infernal/Infernal-1.1.2-intel-2018b.eb,Infernal,1.1.2
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/i/Infernal/Infernal-1.1.4-foss-2022b.eb,Infernal,1.1.4
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/i/InterProScan/InterProScan-5.52-86.0-GCCcore-10.3.0.eb,InterPRoScan,5.52-86.0
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/i/IQ-TREE/IQ-TREE-2.2.1-gompi-2021b.eb,IQ-TREE,2.2.1
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/i/IQ-TREE/IQ-TREE-2.2.2.7-gompi-2023a.eb,IQ-TREE,2.2.2.7
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/j/Jellyfish/Jellyfish-1.1.12-foss-2018b.eb,Jellyfish,1.1.12
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/j/Jellyfish/Jellyfish-2.2.10-intel-2018a.eb,Jellyfish,2.2.10
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/j/Jellyfish/Jellyfish-2.2.6-intel-2017a.eb,Jellyfish,2.2.6
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/k/Kaiju/Kaiju-1.7.2-iimpi-2019a-Python-3.7.2.eb,Kaiju,1.7.2
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/k/Kaiju/Kaiju-1.7.3-gompi-2019b-Python-3.7.4.eb,Kaiju,1.7.3
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/k/Kalign/Kalign-3.3.1-GCCcore-10.3.0.eb,Kalign,3.3.1
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/k/KAT/KAT-2.4.2-foss-2019a-Python-3.7.2.eb,Kat,2.4.2
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/k/KMC/KMC-3.2.1-GCC-11.2.0.eb,KMC,3.2.1
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/k/KMC/KMC-3.2.2-GCC-12.2.0.eb,KMC,3.2.2
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/l/LAST/LAST-1179-GCC-10.2.0.eb,LAST,1179
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/l/LASTZ/LASTZ-1.04.03-foss-2019b.eb,LASTZ,1.04.03
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/m/mash/Mash-2.0-foss-2018a.eb,mash,2
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/m/mash/Mash-2.3-GCC-12.3.0.eb,mash,2.3
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/m/MATLAB/MATLAB-2022b.eb,MATLAB,2022b
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/m/MATLAB/MATLAB-2023a.eb,MATLAB,2023a
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/m/MATLAB/MATLAB-2023b.eb,MATLAB,2023b
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/m/medaka/medaka-0.11.4-foss-2018b-Python-3.6.6.eb,madaka,0.11.4
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/m/medaka/medaka-1.1.1-foss-2019b-Python-3.7.4.eb,madaka,1.1.1
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/m/medaka/medaka-1.2.0-foss-2019b-Python-3.7.4.eb,madaka,1.2.0
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/m/medaka/medaka-1.6.0-foss-2021b.eb,madaka,1.6.0
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/m/medaka/medaka-1.8.1-foss-2022a.eb,madaka,1.8.1
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/m/medaka/medaka-1.9.1-foss-2022b.eb,madaka,1.9.1
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/m/MetaPhlAn/MetaPhlAn-3.0.9-foss-2020a-Python-3.8.2.eb,MetaPhlAn,3.0.9
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/m/Mothur/Mothur-1.39.5-intel-2017a-Python-2.7.13.eb,Mothur,1.39.5
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/m/Mothur/Mothur-1.41.0-foss-2018b-Python-2.7.15.eb,Mothur,1.41.0
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/m/Mothur/Mothur-1.43.0-foss-2019a-Python-3.7.2.eb,Mothur,1.43.0
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/m/MrBayes/MrBayes-3.2.6-gompi-2020b.eb,MrBayes,3.2.6
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/m/MrBayes/MrBayes-3.2.7-gompic-2019b.eb,MrBayes,3.2.7
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/m/MUMmer/MUMmer-3.23-GCCcore-10.3.0.eb,MUMmer,3.23
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/m/MUMmer/MUMmer-4.0.0rc1-GCCcore-12.3.0.eb,MUMmer,4.0.0
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/m/MUSCLE/MUSCLE-5.0.1428-GCCcore-10.3.0.eb,MUSCLE,5.0.1428
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/n/NanoPlot/NanoPlot-1.28.4-intel-2019b-Python-3.7.4.eb,NanoPlot,1.28.4
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/n/NanoPlot/NanoPlot-1.33.0-foss-2021a.eb,NanoPlot,1.33.0
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/n/NanoPlot/NanoPlot-1.33.0-intel-2020b.eb,NanoPlot,1.33.0
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/n/nanopolish/nanopolish-0.13.2-foss-2020a-Python-3.8.2.eb,nonopolish,0.13.0
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/n/nanopolish/nanopolish-0.13.3-foss-2020b.eb,nonopolish,0.13.3
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/n/nanopolish/nanopolish-0.14.0-foss-2022a.eb,nonopolish,0.14.0
/scicomp/groups-pure/Projects/easybuild/easybuild-easyconfigs/easybuild/easyconfigs/n/NCBI-Toolkit/NCBI-Toolkit-18.0.0-intel-2017a.eb,NCBI-Toolkit,18.0.0
